problem,family,task,model,fold,train_rows,validation_rows,validation_start_utc,target,feature_set,n,positives,base_rate,roc_auc,pr_auc,pr_auc_lift,log_loss,brier,accuracy
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,naive,2,67874,42856,2026-08-18T20:49:08.333Z,next_move_matches_sweep_direction,book_flow_plus_sweep,31362,15681,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,linear,2,67874,42856,2026-08-18T20:49:08.333Z,next_move_matches_sweep_direction,book_flow_plus_sweep,31362,15681,0.5,0.7662516252,0.7537943733,1.507588747,0.579189032,0.1970208935,0.7009119316
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,lightgbm,2,67874,42856,2026-08-18T20:49:08.333Z,next_move_matches_sweep_direction,book_flow_plus_sweep,31362,15681,0.5,0.7440394146,0.7327965181,1.465593036,0.604604219,0.2073120227,0.6799948983
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,naive,3,99236,42850,2026-08-19T02:46:16.016Z,next_move_matches_sweep_direction,book_flow_plus_sweep,31934,15967,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,linear,3,99236,42850,2026-08-19T02:46:16.016Z,next_move_matches_sweep_direction,book_flow_plus_sweep,31934,15967,0.5,0.7653494828,0.7582687189,1.516537438,0.5779130262,0.197195312,0.6916139538
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,lightgbm,3,99236,42850,2026-08-19T02:46:16.016Z,next_move_matches_sweep_direction,book_flow_plus_sweep,31934,15967,0.5,0.7494817404,0.7433849266,1.486769853,0.5915214687,0.2033504661,0.6785870859
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,naive,4,131170,42856,2026-08-19T08:43:23.700Z,next_move_matches_sweep_direction,book_flow_plus_sweep,33172,16586,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,linear,4,131170,42856,2026-08-19T08:43:23.700Z,next_move_matches_sweep_direction,book_flow_plus_sweep,33172,16586,0.5,0.770085029,0.7632989159,1.526597832,0.5725404677,0.1950629661,0.6945315326
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,lightgbm,4,131170,42856,2026-08-19T08:43:23.700Z,next_move_matches_sweep_direction,book_flow_plus_sweep,33172,16586,0.5,0.7642423576,0.7593856423,1.518771285,0.576964438,0.1972709827,0.6915470879
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,naive,5,164342,42856,2026-08-19T14:40:31.383Z,next_move_matches_sweep_direction,book_flow_plus_sweep,42816,21408,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,linear,5,164342,42856,2026-08-19T14:40:31.383Z,next_move_matches_sweep_direction,book_flow_plus_sweep,42816,21408,0.5,0.7190800484,0.7177892971,1.435578594,0.6167184972,0.2145309123,0.6519291854
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,lightgbm,5,164342,42856,2026-08-19T14:40:31.383Z,next_move_matches_sweep_direction,book_flow_plus_sweep,42816,21408,0.5,0.7176785504,0.71501985,1.4300397,0.6170613479,0.2148835759,0.6515321375
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,naive,6,207158,42846,2026-08-19T20:37:39.066Z,next_move_matches_sweep_direction,book_flow_plus_sweep,42792,21396,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,linear,6,207158,42846,2026-08-19T20:37:39.066Z,next_move_matches_sweep_direction,book_flow_plus_sweep,42792,21396,0.5,0.7371613465,0.7316135006,1.463227001,0.6101031665,0.2098190316,0.6704056833
