signal,horizon_s,gross_decile_spread_bps,gross_edge_per_trade_bps,break_even_all_in_cost_bps,hurdle_bps_one_way,hurdle_bps_round_trip,net_of_one_way_bps,net_of_round_trip_bps,clears_one_way,clears_round_trip
obi_l1,120,1.1845636031438156,0.5922818015719078,0.5922818015719078,2.0,4.0,-1.4077181984280922,-3.407718198428092,False,False
obi_l1,120,1.1845636031438156,0.5922818015719078,0.5922818015719078,3.0,6.0,-2.407718198428092,-5.407718198428093,False,False
obi_l1,120,1.1845636031438156,0.5922818015719078,0.5922818015719078,5.0,10.0,-4.407718198428093,-9.407718198428093,False,False
obi_l1,120,1.1845636031438156,0.5922818015719078,0.5922818015719078,7.5,15.0,-6.907718198428093,-14.407718198428093,False,False
obi_l1,120,1.1845636031438156,0.5922818015719078,0.5922818015719078,10.0,20.0,-9.407718198428093,-19.407718198428093,False,False
obi_l1,120,1.1233895857024223,0.5616947928512112,0.5616947928512112,1.0,2.0,-0.43830520714878884,-1.438305207148789,False,False
obi_l1,120,1.1233895857024223,0.5616947928512112,0.5616947928512112,2.0,4.0,-1.438305207148789,-3.438305207148789,False,False
obi_l1,120,1.1233895857024223,0.5616947928512112,0.5616947928512112,3.0,6.0,-2.438305207148789,-5.4383052071487885,False,False
obi_l1,120,1.1233895857024223,0.5616947928512112,0.5616947928512112,5.0,10.0,-4.4383052071487885,-9.438305207148789,False,False
obi_l1,120,1.1233895857024223,0.5616947928512112,0.5616947928512112,7.5,15.0,-6.9383052071487885,-14.438305207148789,False,False
obi_l1,120,1.1233895857024223,0.5616947928512112,0.5616947928512112,10.0,20.0,-9.438305207148789,-19.43830520714879,False,False
obi_l1,300,1.2191344165819498,0.6095672082909749,0.6095672082909749,1.0,2.0,-0.3904327917090251,-1.3904327917090251,False,False
obi_l1,300,1.2191344165819498,0.6095672082909749,0.6095672082909749,2.0,4.0,-1.3904327917090251,-3.390432791709025,False,False
obi_l1,300,1.2191344165819498,0.6095672082909749,0.6095672082909749,3.0,6.0,-2.390432791709025,-5.390432791709025,False,False
obi_l1,300,1.2191344165819498,0.6095672082909749,0.6095672082909749,5.0,10.0,-4.390432791709025,-9.390432791709024,False,False
obi_l1,300,1.2191344165819498,0.6095672082909749,0.6095672082909749,7.5,15.0,-6.890432791709025,-14.390432791709024,False,False
obi_l1,300,1.2191344165819498,0.6095672082909749,0.6095672082909749,10.0,20.0,-9.390432791709024,-19.390432791709024,False,False
obi_l1,300,1.0317427415237654,0.5158713707618827,0.5158713707618827,1.0,2.0,-0.4841286292381173,-1.4841286292381173,False,False
obi_l1,300,1.0317427415237654,0.5158713707618827,0.5158713707618827,2.0,4.0,-1.4841286292381173,-3.4841286292381173,False,False
obi_l1,300,1.0317427415237654,0.5158713707618827,0.5158713707618827,3.0,6.0,-2.4841286292381173,-5.484128629238118,False,False
obi_l1,300,1.0317427415237654,0.5158713707618827,0.5158713707618827,5.0,10.0,-4.484128629238118,-9.484128629238118,False,False
obi_l1,300,1.0317427415237654,0.5158713707618827,0.5158713707618827,7.5,15.0,-6.984128629238118,-14.484128629238118,False,False
