executed_trade_count,gross_executable_edge_bp_per_trade,additional_cost_bp_per_side,net_edge_bp_per_trade,hit_rate,net_trade_sharpe,cumulative_net_pnl_bp,best_day_pnl_fraction,best_5pct_trade_pnl_fraction,positive_days,days,view,model,side,horizon_ms,tail,eligible_oof_observations
25206,0.025566305219371532,2.0,-3.9744336947806285,3.967309370784734e-05,-5363.052236572411,-100179.57571064052,,,0,3,non_overlapping_trade_tape,obi_only,long,1000,0.1,345569
34559,0.024724100620875156,3.0,-5.975275899379125,2.8936022454353425e-05,-10098.083188700135,-206499.55980664317,,,0,4,predictive_all_eligible,obi_only,long,1000,0.1,345569
25206,0.025566305219371088,3.0,-5.974433694780629,3.967309370784734e-05,-8061.827784704145,-150591.57571064052,,,0,3,non_overlapping_trade_tape,obi_only,long,1000,0.1,345569
34559,0.024724100620876044,5.0,-9.975275899379124,0.0,-16857.994100763226,-344735.55980664317,,,0,4,predictive_all_eligible,obi_only,long,1000,0.1,345569
25206,0.025566305219371088,5.0,-9.974433694780629,0.0,-13459.378880967612,-251415.57571064052,,,0,3,non_overlapping_trade_tape,obi_only,long,1000,0.1,345569
17280,0.028589083992503372,1.0,-1.9714109160074966,0.00028935185185185184,-2102.385229203727,-34065.98062860954,,,0,4,predictive_all_eligible,obi_only,long,1000,0.05,345569
13742,0.029315834472362523,1.0,-1.9706841655276375,0.00029107844564110026,-1774.0779403543906,-27081.141802680795,,,0,4,non_overlapping_trade_tape,obi_only,long,1000,0.05,345569
17280,0.028589083992503372,2.0,-3.9714109160074966,5.787037037037037e-05,-4235.258910822047,-68625.98062860954,,,0,4,predictive_all_eligible,obi_only,long,1000,0.05,345569
13742,0.0293158344723623,2.0,-3.9706841655276377,7.276961141027506e-05,-3574.547007278053,-54565.141802680795,,,0,4,non_overlapping_trade_tape,obi_only,long,1000,0.05,345569
17280,0.028589083992503816,3.0,-5.971410916007496,5.787037037037037e-05,-6368.132592440365,-103185.98062860954,,,0,4,predictive_all_eligible,obi_only,long,1000,0.05,345569
13742,0.029315834472362745,3.0,-5.970684165527637,7.276961141027506e-05,-5375.016074201715,-82049.1418026808,,,0,4,non_overlapping_trade_tape,obi_only,long,1000,0.05,345569
17280,0.028589083992503816,5.0,-9.971410916007496,0.0,-10633.879955677005,-172305.98062860954,,,0,4,predictive_all_eligible,obi_only,long,1000,0.05,345569
13742,0.029315834472361857,5.0,-9.970684165527638,0.0,-8975.954208049041,-137017.1418026808,,,0,4,non_overlapping_trade_tape,obi_only,long,1000,0.05,345569
6912,0.030879107861117694,1.0,-1.9691208921388823,0.00043402777777777775,-1315.82656471755,-13610.563606463955,,,0,4,predictive_all_eligible,obi_only,long,1000,0.02,345569
